DATE,INVESTMENT(in millions)
01-01-2000,784940
01-02-2000,793737
01-03-2000,809459
01-04-2000,804766
01-05-2000,805005
01-06-2000,795411
01-07-2000,783795
01-08-2000,805341
01-09-2000,814330
01-10-2000,816100
01-11-2000,820054
01-12-2000,811516
01-01-2001,814479
01-02-2001,813647
01-03-2001,828057
01-04-2001,842392
01-05-2001,848146
01-06-2001,855730
01-07-2001,850471
01-08-2001,847465
01-09-2001,837412
01-10-2001,845941
01-11-2001,843911
01-12-2001,849689
01-01-2002,858654
01-02-2002,862338
01-03-2002,844551
01-04-2002,858240
01-05-2002,850935
01-06-2002,846777
01-07-2002,847129
01-08-2002,839008
01-09-2002,832134
01-10-2002,839690
01-11-2002,844697
01-12-2002,855921
01-01-2003,863855
01-02-2003,859225
01-03-2003,851132
01-04-2003,859459
01-05-2003,866814
01-06-2003,880865
01-07-2003,891264
01-08-2003,901839
01-09-2003,911589
01-10-2003,925732
01-11-2003,925985
01-12-2003,948491
01-01-2004,938525
01-02-2004,937813
01-03-2004,961159
01-04-2004,967602
01-05-2004,974381
01-06-2004,983087
01-07-2004,1006184
01-08-2004,1013616
01-09-2004,1012080
01-10-2004,1015719
01-11-2004,1022994
01-12-2004,1037480
01-01-2005,1046082
01-02-2005,1066848
01-03-2005,1071745
01-04-2005,1081012
01-05-2005,1093341
01-06-2005,1105896
01-07-2005,1119101
01-08-2005,1129163
01-09-2005,1148438
01-10-2005,1160831
01-11-2005,1172090
01-12-2005,1184677
01-01-2006,1195642
01-02-2006,1205639
01-03-2006,1205169
01-04-2006,1193296
01-05-2006,1180581
01-06-2006,1172128
01-07-2006,1157926
01-08-2006,1145907
01-09-2006,1135753
01-10-2006,1122914
01-11-2006,1121749
01-12-2006,1135406
01-01-2007,1137917
01-02-2007,1139032
01-03-2007,1146624
01-04-2007,1150590
01-05-2007,1161581
01-06-2007,1163511
01-07-2007,1155448
01-08-2007,1159077
01-09-2007,1158580
01-10-2007,1152491
01-11-2007,1132908
01-12-2007,1115141
01-01-2008,1111347
01-02-2008,1096648
01-03-2008,1103446
01-04-2008,1101252
01-05-2008,1101547
01-06-2008,1090098
01-07-2008,1086952
01-08-2008,1070075
01-09-2008,1059579
01-10-2008,1055959
01-11-2008,1035033
01-12-2008,999139
01-01-2009,975099
01-02-2009,971708
01-03-2009,963793
01-04-2009,932482
01-05-2009,920020
01-06-2009,912530
01-07-2009,911438
01-08-2009,900112
01-09-2009,887241
01-10-2009,871391
01-11-2009,858493
01-12-2009,842609
01-01-2010,822114
01-02-2010,814885
01-03-2010,821849
01-04-2010,829664
01-05-2010,823447
01-06-2010,821943
01-07-2010,799694
01-08-2010,802030
01-09-2010,807728
01-10-2010,801372
01-11-2010,804151
01-12-2010,789395
01-01-2011,759964
01-02-2011,758376
01-03-2011,769157
01-04-2011,769437
01-05-2011,775251
01-06-2011,794839
01-07-2011,792381
01-08-2011,811953
01-09-2011,813660
01-10-2011,808378
01-11-2011,812050
01-12-2011,821367
01-01-2012,830610
01-02-2012,824368
01-03-2012,829288
01-04-2012,841740
01-05-2012,850928
01-06-2012,858009
01-07-2012,858934
01-08-2012,862726
01-09-2012,866588
01-10-2012,875366
01-11-2012,872052
01-12-2012,871809
01-01-2013,862722
01-02-2013,873583
01-03-2013,864510
01-04-2013,879728
01-05-2013,888752
01-06-2013,899295
01-07-2013,917756
01-08-2013,929061
01-09-2013,938121
01-10-2013,951214
01-11-2013,964122
01-12-2013,979211
01-01-2014,986587
01-02-2014,987538
01-03-2014,991157
01-04-2014,1006901
01-05-2014,1007147
01-06-2014,1006424
01-07-2014,1014935
01-08-2014,1015096
01-09-2014,1021890
01-10-2014,1046402
01-11-2014,1044893
01-12-2014,1056429
01-01-2015,1066763
01-02-2015,1078296
01-03-2015,1092703
01-04-2015,1121895
01-05-2015,1143089
01-06-2015,1166153
01-07-2015,1162184
01-08-2015,1171979
01-09-2015,1174097
01-10-2015,1161174
01-11-2015,1156692
01-12-2015,1167856
01-01-2016,1171352
01-02-2016,1181683
01-03-2016,1200627
01-04-2016,1198571
01-05-2016,1203495
01-06-2016,1226695
01-07-2016,1225886
01-08-2016,1231616
01-09-2016,1240908
01-10-2016,1250370
01-11-2016,1275898
01-12-2016,1280619
01-01-2017,1253266
01-02-2017,1276334
01-03-2017,1271940
01-04-2017,1271219
01-05-2017,1285109
01-06-2017,1277748
01-07-2017,1277071
01-08-2017,1274859
01-09-2017,1281382
01-10-2017,1282298
01-11-2017,1305629
01-12-2017,1313472
01-01-2018,1335174
01-02-2018,1355642
01-03-2018,1345261
01-04-2018,1356953
01-05-2018,1364892
01-06-2018,1346265
01-07-2018,1338377
01-08-2018,1339536
01-09-2018,1325585
01-10-2018,1308508
01-11-2018,1296961
01-12-2018,1287899
01-01-2019,1294398
01-02-2019,1312418
01-03-2019,1323764
01-04-2019,1358075
01-05-2019,1367893
01-06-2019,1386880
01-07-2019,1412995
01-08-2019,1424952
01-09-2019,1434950
01-10-2019,1436789
01-11-2019,1459790
01-12-2019,1463531
01-01-2020,1489988
01-02-2020,1501841
01-03-2020,1508887
01-04-2020,1466175
01-05-2020,1461910
01-06-2020,1463182
01-07-2020,1474982
01-08-2020,1486856
01-09-2020,1505074
01-10-2020,1525872
01-11-2020,1542987
01-12-2020,1566367
