DATE,new_houses_constructed
01-01-2000,4.3
01-02-2000,4.3
01-03-2000,4.3
01-04-2000,4.4
01-05-2000,4.4
01-06-2000,4.8
01-07-2000,4.1
01-08-2000,4.4
01-09-2000,4
01-10-2000,4
01-11-2000,4.2
01-12-2000,3.6
01-01-2001,3.8
01-02-2001,3.7
01-03-2001,3.8
01-04-2001,3.9
01-05-2001,4
01-06-2001,4.2
01-07-2001,4.2
01-08-2001,4.4
01-09-2001,4.4
01-10-2001,4.3
01-11-2001,4.1
01-12-2001,3.8
01-01-2002,4.2
01-02-2002,4
01-03-2002,4.1
01-04-2002,4.3
01-05-2002,4
01-06-2002,4.2
01-07-2002,4.2
01-08-2002,4
01-09-2002,3.9
01-10-2002,4
01-11-2002,4
01-12-2002,4
01-01-2003,4
01-02-2003,4.5
01-03-2003,4.1
01-04-2003,4.1
01-05-2003,3.9
01-06-2003,3.5
01-07-2003,3.6
01-08-2003,3.5
01-09-2003,3.8
01-10-2003,3.8
01-11-2003,4.1
01-12-2003,4
01-01-2004,3.8
01-02-2004,3.7
01-03-2004,3.6
01-04-2004,4
01-05-2004,3.8
01-06-2004,3.9
01-07-2004,4.5
01-08-2004,4.3
01-09-2004,4.1
01-10-2004,3.9
01-11-2004,4.3
01-12-2004,4.1
01-01-2005,4.4
01-02-2005,4.3
01-03-2005,4.1
01-04-2005,4.3
01-05-2005,4.2
01-06-2005,4.3
01-07-2005,4.2
01-08-2005,4.5
01-09-2005,4.7
01-10-2005,4.5
01-11-2005,5
01-12-2005,4.9
01-01-2006,5.3
01-02-2006,6.1
01-03-2006,5.9
01-04-2006,6.3
01-05-2006,6.2
01-06-2006,6.3
01-07-2006,7.3
01-08-2006,6.7
01-09-2006,6.7
01-10-2006,7.3
01-11-2006,6.6
01-12-2006,6.5
01-01-2007,7.2
01-02-2007,7.9
01-03-2007,7.9
01-04-2007,7.4
01-05-2007,7.8
01-06-2007,8.2
01-07-2007,8.3
01-08-2007,9.2
01-09-2007,9.2
01-10-2007,8.5
01-11-2007,9.4
01-12-2007,9.6
01-01-2008,9.3
01-02-2008,9.7
01-03-2008,10.5
01-04-2008,10.3
01-05-2008,10.7
01-06-2008,10.7
01-07-2008,10.5
01-08-2008,11.3
01-09-2008,10.9
01-10-2008,11.6
01-11-2008,11.4
01-12-2008,11.2
01-01-2009,12.2
01-02-2009,10.5
01-03-2009,11
01-04-2009,10.7
01-05-2009,9.3
01-06-2009,8.5
01-07-2009,7.9
01-08-2009,7.5
01-09-2009,7.8
01-10-2009,7.4
01-11-2009,7.6
01-12-2009,8
01-01-2010,8.1
01-02-2010,8.3
01-03-2010,7.1
01-04-2010,6.2
01-05-2010,9.3
01-06-2010,8.3
01-07-2010,8.9
01-08-2010,8.8
01-09-2010,7.6
01-10-2010,8.2
01-11-2010,8.2
01-12-2010,7
01-01-2011,7.3
01-02-2011,8.1
01-03-2011,7.2
01-04-2011,6.7
01-05-2011,6.6
01-06-2011,6.6
01-07-2011,6.7
01-08-2011,6.5
01-09-2011,6.3
01-10-2011,6
01-11-2011,5.7
01-12-2011,5.3
01-01-2012,5.3
01-02-2012,4.8
01-03-2012,4.9
01-04-2012,4.9
01-05-2012,4.7
01-06-2012,4.8
01-07-2012,4.6
01-08-2012,4.6
01-09-2012,4.5
01-10-2012,4.9
01-11-2012,4.6
01-12-2012,4.5
01-01-2013,4
01-02-2013,4.1
01-03-2013,4.2
01-04-2013,4.4
01-05-2013,4.6
01-06-2013,4.1
01-07-2013,5.5
01-08-2013,5.5
01-09-2013,5.4
01-10-2013,4.9
01-11-2013,5
01-12-2013,5.2
01-01-2014,5.1
01-02-2014,5.3
01-03-2014,5.6
01-04-2014,5.7
01-05-2014,5.2
01-06-2014,5.7
01-07-2014,6.2
01-08-2014,5.4
01-09-2014,5.4
01-10-2014,5.3
01-11-2014,5.7
01-12-2014,5.1
01-01-2015,4.8
01-02-2015,4.5
01-03-2015,5.1
01-04-2015,4.9
01-05-2015,5
01-06-2015,5.4
01-07-2015,5.2
01-08-2015,5
01-09-2015,5.9
01-10-2015,5.6
01-11-2015,5.5
01-12-2015,5.1
01-01-2016,5.6
01-02-2016,5.5
01-03-2016,5.5
01-04-2016,5
01-05-2016,5.1
01-06-2016,5.3
01-07-2016,4.5
01-08-2016,5
01-09-2016,5.2
01-10-2016,5.2
01-11-2016,5.2
01-12-2016,5.4
01-01-2017,5.4
01-02-2017,5.3
01-03-2017,5
01-04-2017,5.4
01-05-2017,5.1
01-06-2017,5.3
01-07-2017,5.8
01-08-2017,6.1
01-09-2017,5.3
01-10-2017,5.5
01-11-2017,4.8
01-12-2017,5.6
01-01-2018,5.7
01-02-2018,5.7
01-03-2018,5.3
01-04-2018,5.5
01-05-2018,5.4
01-06-2018,5.9
01-07-2018,6.2
01-08-2018,6.5
01-09-2018,6.6
01-10-2018,7
01-11-2018,6.7
01-12-2018,7.5
01-01-2019,6.9
01-02-2019,6.4
01-03-2019,5.8
01-04-2019,5.7
01-05-2019,6.5
01-06-2019,5.3
01-07-2019,5.8
01-08-2019,5.6
01-09-2019,5.4
01-10-2019,5.4
01-11-2019,5.6
01-12-2019,5.6
01-01-2020,5.5
01-02-2020,5.7
01-03-2020,6.5
01-04-2020,6.7
01-05-2020,5.3
01-06-2020,3.9
01-07-2020,3.5
01-08-2020,3.3
01-09-2020,3.4
01-10-2020,3.4
01-11-2020,4.1
01-12-2020,4.1
