DATE,TOTAL PERMITS(in thousands)
01-01-2000,107.3
01-02-2000,121.8
01-03-2000,153.7
01-04-2000,138.9
01-05-2000,148.9
01-06-2000,155.1
01-07-2000,129.8
01-08-2000,146.8
01-09-2000,131.4
01-10-2000,134.8
01-11-2000,121
01-12-2000,102.9
01-01-2001,117
01-02-2001,114.3
01-03-2001,147.7
01-04-2001,148.6
01-05-2001,159.8
01-06-2001,153.9
01-07-2001,140.6
01-08-2001,151.4
01-09-2001,125.2
01-10-2001,140.2
01-11-2001,124.4
01-12-2001,113.6
01-01-2002,115.7
01-02-2002,122.5
01-03-2002,143.2
01-04-2002,156
01-05-2002,164.2
01-06-2002,158
01-07-2002,159.3
01-08-2002,153.7
01-09-2002,149.5
01-10-2002,162.9
01-11-2002,126.8
01-12-2002,135.8
01-01-2003,126.4
01-02-2003,128.5
01-03-2003,148.4
01-04-2003,167.6
01-05-2003,169.5
01-06-2003,175.8
01-07-2003,173
01-08-2003,169.9
01-09-2003,169.1
01-10-2003,182.8
01-11-2003,130.5
01-12-2003,147.9
01-01-2004,132
01-02-2004,137.1
01-03-2004,190.7
01-04-2004,192.5
01-05-2004,188.4
01-06-2004,197.1
01-07-2004,185.9
01-08-2004,185.2
01-09-2004,174.9
01-10-2004,174.5
01-11-2004,156.4
01-12-2004,155.2
01-01-2005,139.7
01-02-2005,149.4
01-03-2005,190.5
01-04-2005,193.2
01-05-2005,193.1
01-06-2005,211.9
01-07-2005,185.5
01-08-2005,208
01-09-2005,193.7
01-10-2005,176
01-11-2005,162.9
01-12-2005,151.3
01-01-2006,152.6
01-02-2006,151
01-03-2006,194.2
01-04-2006,168.6
01-05-2006,184.4
01-06-2006,184.2
01-07-2006,148
01-08-2006,161.2
01-09-2006,136.6
01-10-2006,133.1
01-11-2006,111.4
01-12-2006,113.6
01-01-2007,114.1
01-02-2007,112.1
01-03-2007,139.4
01-04-2007,130.9
01-05-2007,146
01-06-2007,135.6
01-07-2007,122.5
01-08-2007,126
01-09-2007,100.5
01-10-2007,103.8
01-11-2007,89.5
01-12-2007,77.8
01-01-2008,77.4
01-02-2008,75
01-03-2008,79.1
01-04-2008,91.5
01-05-2008,92.3
01-06-2008,110.6
01-07-2008,85.9
01-08-2008,76.3
01-09-2008,70.9
01-10-2008,63.7
01-11-2008,41.5
01-12-2008,41.2
01-01-2009,37.6
01-02-2009,39.2
01-03-2009,45.4
01-04-2009,47.8
01-05-2009,49.5
01-06-2009,61.3
01-07-2009,56.1
01-08-2009,54
01-09-2009,52.9
01-10-2009,47.9
01-11-2009,42.1
01-12-2009,49.2
01-01-2010,40.4
01-02-2010,45.3
01-03-2010,64.1
01-04-2010,58.9
01-05-2010,51.1
01-06-2010,59.2
01-07-2010,51.6
01-08-2010,53.7
01-09-2010,48.5
01-10-2010,43.5
01-11-2010,40.9
01-12-2010,47.6
01-01-2011,36.3
01-02-2011,37.7
01-03-2011,54.4
01-04-2011,50.7
01-05-2011,57.3
01-06-2011,63.8
01-07-2011,52.6
01-08-2011,62.6
01-09-2011,53.2
01-10-2011,52
01-11-2011,51.9
01-12-2011,51.6
01-01-2012,47.8
01-02-2012,53.5
01-03-2012,69.5
01-04-2012,64.1
01-05-2012,77.7
01-06-2012,75.9
01-07-2012,74.1
01-08-2012,80
01-09-2012,73.7
01-10-2012,77.5
01-11-2012,68.7
01-12-2012,67.2
01-01-2013,65.5
01-02-2013,67.8
01-03-2013,77.7
01-04-2013,92.8
01-05-2013,97.2
01-06-2013,85.7
01-07-2013,90.2
01-08-2013,87.1
01-09-2013,83.1
01-10-2013,92.5
01-11-2013,73.5
01-12-2013,77.8
01-01-2014,68.6
01-02-2014,72.3
01-03-2014,86.3
01-04-2014,99.1
01-05-2014,93.8
01-06-2014,95.7
01-07-2014,97.1
01-08-2014,90.3
01-09-2014,92.7
01-10-2014,98.4
01-11-2014,72.8
01-12-2014,85
01-01-2015,71
01-02-2015,78.6
01-03-2015,92.5
01-04-2015,106
01-05-2015,111.9
01-06-2015,134.8
01-07-2015,103.2
01-08-2015,98.4
01-09-2015,98.3
01-10-2015,99.3
01-11-2015,91
01-12-2015,97.5
01-01-2016,76.2
01-02-2016,86.3
01-03-2016,99.8
01-04-2016,101.9
01-05-2016,110.3
01-06-2016,117.6
01-07-2016,97.9
01-08-2016,111.6
01-09-2016,111.7
01-10-2016,104
01-11-2016,94.5
01-12-2016,94.8
01-01-2017,90.6
01-02-2017,86.9
01-03-2017,115.3
01-04-2017,105
01-05-2017,115.3
01-06-2017,130.8
01-07-2017,102.9
01-08-2017,122.1
01-09-2017,103.3
01-10-2017,116.3
01-11-2017,98.8
01-12-2017,94.8
01-01-2018,98.4
01-02-2018,93.4
01-03-2018,119.4
01-04-2018,121.5
01-05-2018,126.9
01-06-2018,123.3
01-07-2018,114.5
01-08-2018,118.2
01-09-2018,100.4
01-10-2018,113.9
01-11-2018,102.3
01-12-2018,96.6
01-01-2019,96
01-02-2019,91.2
01-03-2019,107.8
01-04-2019,121.2
01-05-2019,127
01-06-2019,113.8
01-07-2019,121.9
01-08-2019,131.5
01-09-2019,118.3
01-10-2019,135.8
01-11-2019,111
01-12-2019,110.7
01-01-2020,116.4
01-02-2020,102.9
01-03-2020,119
01-04-2020,98.4
01-05-2020,107.3
01-06-2020,127.2
01-07-2020,138.9
01-08-2020,128.9
01-09-2020,136.3
01-10-2020,135.9
01-11-2020,123.1
01-12-2020,137
