DATE,real expenditure
01-01-2000,9309.1
01-02-2000,9345.2
01-03-2000,9370.3
01-04-2000,9418.3
01-05-2000,9457.3
01-06-2000,9483.3
01-07-2000,9533.3
01-08-2000,9591.5
01-09-2000,9601.5
01-10-2000,9627.4
01-11-2000,9629.8
01-12-2000,9647.6
01-01-2001,9697.4
01-02-2001,9708.8
01-03-2001,9733.9
01-04-2001,9705
01-05-2001,9680.9
01-06-2001,9679.4
01-07-2001,9820.7
01-08-2001,9982.1
01-09-2001,9896.5
01-10-2001,9722.4
01-11-2001,9733.4
01-12-2001,9750.3
01-01-2002,9951.9
01-02-2002,9966.6
01-03-2002,9973.3
01-04-2002,10007.2
01-05-2002,10047.9
01-06-2002,10078.5
01-07-2002,10053.5
01-08-2002,10056.6
01-09-2002,10068.3
01-10-2002,10097.3
01-11-2002,10124.3
01-12-2002,10148.6
01-01-2003,10133.6
01-02-2003,10097.6
01-03-2003,10121.5
01-04-2003,10181.4
01-05-2003,10261.2
01-06-2003,10291.2
01-07-2003,10415.5
01-08-2003,10487.7
01-09-2003,10369.1
01-10-2003,10408.4
01-11-2003,10470.9
01-12-2003,10479
01-01-2004,10472.7
01-02-2004,10491.3
01-03-2004,10533.6
01-04-2004,10569.6
01-05-2004,10623.3
01-06-2004,10631.8
01-07-2004,10658.1
01-08-2004,10693.5
01-09-2004,10701.4
01-10-2004,10707.4
01-11-2004,10677.3
01-12-2004,11072.9
01-01-2005,10670.3
01-02-2005,10677.1
01-03-2005,10717.4
01-04-2005,10751.9
01-05-2005,10799.8
01-06-2005,10824.4
01-07-2005,10839
01-08-2005,10856.6
01-09-2005,10815.7
01-10-2005,10870.2
01-11-2005,10937.8
01-12-2005,10976.2
01-01-2006,11096.7
01-02-2006,11151.4
01-03-2006,11195.7
01-04-2006,11190.3
01-05-2006,11182.7
01-06-2006,11198.2
01-07-2006,11196.3
01-08-2006,11189.6
01-09-2006,11252.3
01-10-2006,11306
01-11-2006,11353.1
01-12-2006,11406.8
01-01-2007,11403.7
01-02-2007,11439.6
01-03-2007,11475
01-04-2007,11490.1
01-05-2007,11495.5
01-06-2007,11488.4
01-07-2007,11500.4
01-08-2007,11506.2
01-09-2007,11527.1
01-10-2007,11523.6
01-11-2007,11512.3
01-12-2007,11552.1
01-01-2008,11553.4
01-02-2008,11547.6
01-03-2008,11545.3
01-04-2008,11500.7
01-05-2008,12060.9
01-06-2008,11755.3
01-07-2008,11574
01-08-2008,11506.9
01-09-2008,11531.5
01-10-2008,11616.7
01-11-2008,11713.8
01-12-2008,11655.4
01-01-2009,11718
01-02-2009,11598.7
01-03-2009,11593.4
01-04-2009,11660.2
01-05-2009,11826.7
01-06-2009,11610.9
01-07-2009,11560.4
01-08-2009,11538.6
01-09-2009,11573.1
01-10-2009,11538.1
01-11-2009,11571
01-12-2009,11630
01-01-2010,11644.6
01-02-2010,11655.6
01-03-2010,11702.1
01-04-2010,11799.8
01-05-2010,11887.9
01-06-2010,11895
01-07-2010,11910.8
01-08-2010,11949.7
01-09-2010,11949.4
01-10-2010,11950.4
01-11-2010,11960.5
01-12-2010,12030.1
01-01-2011,12084.4
01-02-2011,12117
01-03-2011,12083.3
01-04-2011,12061.3
01-05-2011,12043.2
01-06-2011,12087.9
01-07-2011,12128.6
01-08-2011,12120.6
01-09-2011,12104
01-10-2011,12117
01-11-2011,12112.6
01-12-2011,12227.3
01-01-2012,12311.1
01-02-2012,12384.8
01-03-2012,12431.1
01-04-2012,12486.5
01-05-2012,12490.2
01-06-2012,12482.6
01-07-2012,12396.5
01-08-2012,12364.4
01-09-2012,12453.3
01-10-2012,12538.2
01-11-2012,12702.9
01-12-2012,13011.6
01-01-2013,12258.9
01-02-2013,12224.9
01-03-2013,12262.1
01-04-2013,12299
01-05-2013,12358.6
01-06-2013,12361.7
01-07-2013,12350.6
01-08-2013,12379.6
01-09-2013,12431.5
01-10-2013,12395.1
01-11-2013,12426.2
01-12-2013,12452.7
01-01-2014,12513.3
01-02-2014,12579.5
01-03-2014,12648.6
01-04-2014,12699
01-05-2014,12745
01-06-2014,12797.2
01-07-2014,12835.1
01-08-2014,12896.3
01-09-2014,12938.8
01-10-2014,12995.3
01-11-2014,13062.8
01-12-2014,13150.5
01-01-2015,13224.7
01-02-2015,13271.8
01-03-2015,13233.7
01-04-2015,13262.8
01-05-2015,13284.7
01-06-2015,13292.7
01-07-2015,13324.1
01-08-2015,13354.9
01-09-2015,13392
01-10-2015,13419.8
01-11-2015,13417.7
01-12-2015,13482
01-01-2016,13531.6
01-02-2016,13546.1
01-03-2016,13547.2
01-04-2016,13522
01-05-2016,13515.1
01-06-2016,13521.5
01-07-2016,13567.1
01-08-2016,13578.9
01-09-2016,13608.3
01-10-2016,13627.7
01-11-2016,13657.8
01-12-2016,13685.3
01-01-2017,13742.1
01-02-2017,13792.3
01-03-2017,13851.3
01-04-2017,13869.6
01-05-2017,13962.6
01-06-2017,13963.5
01-07-2017,13999.9
01-08-2017,14015.8
01-09-2017,14030.9
01-10-2017,14062.7
01-11-2017,14078.4
01-12-2017,14111.5
01-01-2018,14211.4
01-02-2018,14250.1
01-03-2018,14298.3
01-04-2018,14329.5
01-05-2018,14373.2
01-06-2018,14416.2
01-07-2018,14467
01-08-2018,14509.6
01-09-2018,14498.8
01-10-2018,14527.7
01-11-2018,14550.4
01-12-2018,14719.3
01-01-2019,14714.3
01-02-2019,14742.1
01-03-2019,14732.5
01-04-2019,14678
01-05-2019,14673.5
01-06-2019,14686.4
01-07-2019,14703.7
01-08-2019,14777.8
01-09-2019,14807.9
01-10-2019,14821.4
01-11-2019,14885.9
01-12-2019,14844.1
01-01-2020,14976.5
01-02-2020,15068.8
01-03-2020,14844
01-04-2020,17170.7
01-05-2020,16333
01-06-2020,16057.3
01-07-2020,16151.9
01-08-2020,15553.9
01-09-2020,15643.4
01-10-2020,15568.4
01-11-2020,15366.5
01-12-2020,15393.8
